,all_day,close_date,close_time_h,close_time_i,close_time_s,companyNM,content_type,cycle,cycle_day,cycle_week,duration,for_tag,id,is_live,link,lite_archives_id,lite_archives_name,name,one_play,open_date,open_loop,open_time_h,open_time_i,open_time_s,play_mode,play_speed,play_time,play_time_h,play_time_i,play_time_s,play_time_unit,schedule_head_id,select_style_id,source,start,style,style_name,text_content,thumbnail,type,video_id,video_source,video_title,week
721,,2019-08-13,14,40,0,AV Media Systems,1,day,1,1,,1,2304,,,,,All device,,2019-08-13,1,14,35,0,2.0,,,,,,,,4461,,,"{""font_size"":""3"",""font_color"":""#ffff00"",""background_color"":""#ff76a5af"",""scroll_direction"":""left""}",Notice_1,"Win $500.00 worth of LogicTech Products, Just enter at AV Media Systems Stand",,1,,,,
722,,,,,,AV Media Systems,1,,,,,0,6437,,,,,Neil demo,,,,,,,2.0,,10,,,,i,,4461,,,"{""font_size"":""3"",""font_color"":""#ffff00"",""background_color"":""#ff76a5af"",""scroll_direction"":""left""}",Notice_1,"Win over $500.00 worth of Logitech Products
Just enter here at AV Media Systems Stand",,1,,,,
723,,,,,,AV Media Systems,1,,,,,1,2304,,,,,All device,,,,,,,2.0,,10,,,,i,,4461,,,"{""font_size"":""3"",""font_color"":""#ff0000"",""background_color"":""#ffffff00"",""scroll_direction"":""left""}",Notice_1,Hello there!!,,1,,,,
724,,,9,0,0,BenQ,1,,,,,1,2950,,,,,全部設備,,2019-08-15,,8,30,0,2.0,,,,,,,,5606,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,/jhvjhcjccg,,1,,,,
725,,,,,,Bekdata,1,,,,,1,3011,,,,,TEST TAG TEST,,,,,,,1.0,,10,,,,i,,5689,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,KAPATIN S?STEM? GELM?Y?M ORAYA,,1,,,,
726,,,,,,Bekdata,1,,,,,1,956,,,,,All device,,,,,,,1.0,,30,,,,i,,1909,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,Gazi ?niversitesi Vakf? Okullar? BENQ Interactif TV demosuna HO?GELD?N?Z..!!!,,1,,,,
727,,,,,,Bekdata,1,,,,,1,3011,,,,,TEST TAG TEST,,,,,,,2.0,,10,,,,i,,5690,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,TEST TEST TEST,,1,,,,
728,,,,,,Bekdata,2,,,,5.0,1,3012,,,['17449'],26_Maximize_KV.jpg,TEST2,1,,,,,,,5,,0,0,5,,,,,,,,,,2,,,,
729,,,,,,Bekdata,3,,,,414.0,1,3012,False,https://www.youtube.com/watch?v=46b8qReLgJE,[],,TEST2,1,,,,,,,,,0,0,0,,,,1,0.0,,,,https://i.ytimg.com/vi/46b8qReLgJE/mqdefault.jpg,3,46b8qReLgJE,,ahmet kaya sevgi duvar? ramiz day? sidikli kontes,
730,,,,,,Bekdata,3,,,,414.0,1,3011,False,https://www.youtube.com/watch?v=46b8qReLgJE,[],,TEST TAG TEST,1,,,,,,,,,0,0,0,,,,1,0.0,,,,https://i.ytimg.com/vi/46b8qReLgJE/mqdefault.jpg,3,46b8qReLgJE,,ahmet kaya sevgi duvar? ramiz day? sidikli kontes,
731,,,,,,Bekdata,1,,,,,1,956,,,,,All device,,,,,,,2.0,,10,,,,i,,1910,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,Gazi ?niversitesi Vakf? Okullar? BENQ IFP Tan?t?m?na Ho?geldiniz!!!,,1,,,,
732,,,,,,Bekdata,3,,,,343.0,1,956,False,https://youtu.be/G3_2OA8E_Kg,[],,All device,1,,,,,,,,,0,0,0,,,,1,0.0,,,,https://i.ytimg.com/vi/G3_2OA8E_Kg/mqdefault.jpg,3,G3_2OA8E_Kg,,Gazi ?niversitesi Vakf? ?zel Okullar? (Gazi ??in ?al),
733,,,,,,Milano ISD,1,,,,,1,3016,,,,,All device,,,,,,,2.0,,10,,,,i,,5696,,,"{""font_size"":""3"",""font_color"":""#660000"",""background_color"":""#ffffffff"",""scroll_direction"":""left""}",Announcement,This is a test of Milano's Broadcasting System ,,1,,,,
734,,,,,,Milano ISD,1,,,,,0,6509,,,,,EL518,,,,,,,2.0,,10,,,,i,,5696,,,"{""font_size"":""3"",""font_color"":""#660000"",""background_color"":""#ffffffff"",""scroll_direction"":""left""}",Announcement,Thank you for your time this morning!,,1,,,,
735,,,,,,Milano ISD,1,,,,,0,6509,,,,,EL518,,,,,,,1.0,,10,,,,i,,5695,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,Please send Kevin to the office for early dismissal,,1,,,,
736,,,,,,Milano ISD,3,,,,105.0,0,6509,False,https://www.youtube.com/watch?v=fYGpnJuZfrE&feature=youtu.be,[],,EL518,1,,,,,,,,,0,0,0,,,,1,0.0,,,,https://i.ytimg.com/vi/fYGpnJuZfrE/mqdefault.jpg,3,fYGpnJuZfrE,,BenQ InstaShare - Wireless Solution for Seamless Collaboration,
