"description";"SHID";"COMID";"COMNM"
"{""id"":""4348"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""Rima TV"",""link"":""https:\/\/www.youtube.com\/watch?v=vIj-zuWSv88"",""one_play"":""1"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""0"",""duration"":287,""start"":0,""video_title"":""Dunecrest Q&A"",""video_id"":""vIj-zuWSv88"",""video_source"":1}";"24624";"2174";"Dunecrest"
"{""id"":""4441"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""Backus TV"",""link"":""https:\/\/www.youtube.com\/watch?v=Ba5D3kT0-KE"",""one_play"":""1"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""0"",""duration"":60,""start"":0,""video_title"":""Dunecrest American School, Dubai"",""video_id"":""Ba5D3kT0-KE"",""video_source"":1}";"24627";"2174";"Dunecrest"
"{""id"":""4441"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Backus TV"",""schedule_head_id"":""24628"",""open_date"":""2019-03-11"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""10"",""open_time_i"":""40"",""open_time_s"":""0"",""close_time_h"":""11"",""close_time_i"":""30"",""close_time_s"":""0"",""text_content"":""HELLO WORLD"",""play_mode"":2,""style_name"":""TEST"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#000000\"",\""background_color\"":\""#ffff0000\"",\""scroll_direction\"":\""left\""}""}";"24628";"2174";"Dunecrest"
"{""id"":""4441"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Backus TV"",""open_date"":""2019-03-11"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""11"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""11"",""close_time_i"":""30"",""close_time_s"":""0"",""text_content"":""HELLO WORLD"",""select_style_id"":""4408"",""play_mode"":2,""style_name"":""TEST"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#000000\"",\""background_color\"":\""#ffff0000\"",\""scroll_direction\"":\""left\""}""}";"24629";"2174";"Dunecrest"
"{""id"":""4441"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""Backus TV"",""open_date"":""2019-03-11"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""10"",""open_time_i"":""50"",""open_time_s"":""0"",""close_time_h"":""10"",""close_time_i"":""55"",""close_time_s"":""0"",""link"":""https:\/\/www.youtube.com\/watch?v=Ba5D3kT0-KE"",""duration"":60,""start"":0,""video_title"":""Dunecrest American School, Dubai"",""video_id"":""Ba5D3kT0-KE"",""video_source"":1}";"24630";"2174";"Dunecrest"
"{""id"":""4701"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Oshkosh Demo"",""text_content"":""WARNING - Great weather ahead! - BenQ"",""select_style_id"":""3116"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ffff00\"",\""background_color\"":\""#ff000000\"",\""scroll_direction\"":\""left\""}""}";"24637";"2042";"Camcor"
"{""id"":""4544"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""TGI"",""open_date"":""2019-03-13"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""0"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""0"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""Teew"",""select_style_id"":""4349"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"24754";"2646";"TGI"
"{""id"":""4549"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""CISAG-Sitzungszimmer Gross"",""text_content"":""Hallo Marco"",""select_style_id"":""3679"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_1"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"24822";"2320";"Creanet I.S. AG"
"{""id"":""4549"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""CISAG-Sitzungszimmer Gross"",""text_content"":""Sal\u00fc Ren\u00e9"",""select_style_id"":""3679"",""play_time"":""55"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_1"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"24823";"2320";"Creanet I.S. AG"
"{""id"":""4616"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""7D22-\u591a\u51432"",""text_content"":""12345"",""select_style_id"":""4233"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"24964";"2591";"臺北市仁愛國中"
"{""id"":""4616"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""7D22-\u591a\u51432"",""text_content"":""1111111"",""select_style_id"":""4234"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"24965";"2591";"臺北市仁愛國中"
"{""id"":""4572"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""7D3A-917"",""text_content"":""917\u73ed\u8cc7\u8a0a\u80a1\u9577\uff0c\u4e0b\u8ab2\u5f8c\u8acb\u81f34\u6a13\u8cc7\u8a0a\u7d44\u3002"",""select_style_id"":""4233"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"25007";"2591";"臺北市仁愛國中"
"{""id"":""4572"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""7D3A-917"",""text_content"":""917\u73ed\u8cc7\u8a0a\u80a1\u9577\uff0c\u4e0b\u8ab2\u5f8c\u8acb\u52304F\u8cc7\u8a0a\u7d44\u3002  (\u5ee3\u64ad\u6e2c\u8a66)"",""select_style_id"":""4233"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"25008";"2591";"臺北市仁愛國中"
"{""id"":""4572"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""7D3A-917"",""text_content"":""917\u73ed \u8cc7\u8a0a\u80a1\u9577 \u8acb\u6ce8\u610f\uff1a \u4e0b\u8ab2\u6642\u8acb\u52304\u6a13\u8cc7\u8a0a\u7d44\u3002"",""select_style_id"":""4233"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"25024";"2591";"臺北市仁愛國中"
"{""id"":""4572"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""7D3A-917"",""text_content"":""917\u73ed\u8cc7\u8a0a\u80a1\u9577\u8acb\u6ce8\u610f\uff1a  \u4e0b\u8ab2\u5f8c\u8acb\u52304\u6a13\u8cc7\u8a0a\u7d44!!"",""select_style_id"":""4233"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"25038";"2591";"臺北市仁愛國中"
"{""id"":""2221"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""\u9019\u662f\u6e2c\u8a66"",""select_style_id"":""4302"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"25092";"2623";"台北市立實踐國中"
"{""id"":""4613"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""RP6501-Demo"",""text_content"":""Hello"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#f1c232\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25118";"2366";"BG Innovations"
"{""id"":""4750"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""e\u53161"",""open_date"":""2019-03-21"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""10"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""10"",""close_time_i"":""5"",""close_time_s"":""0"",""text_content"":""\u4e0b\u8ab2\u6642\uff0c\u8acb\u5404\u7d44\u5c0f\u7d44\u9577\u6536\u56de\u5e73\u677f\u653e\u7f6e\u5145\u96fb\u8eca"",""select_style_id"":""4303"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25152";"2623";"台北市立實踐國中"
"{""id"":""4750"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""e\u53161"",""open_date"":""2019-03-21"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""11"",""open_time_i"":""55"",""open_time_s"":""0"",""close_time_h"":""12"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""\u4e0b\u8ab2\u6642\uff0c\u8acb\u5404\u7d44\u5c0f\u7d44\u9577\u6536\u56de\u5e73\u677f\u653e\u7f6e\u5145\u96fb\u8eca"",""select_style_id"":""4302"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"25153";"2623";"台北市立實踐國中"
"{""id"":""4750"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""e\u53161"",""open_date"":""2019-03-21"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""14"",""open_time_i"":""10"",""open_time_s"":""0"",""close_time_h"":""14"",""close_time_i"":""15"",""close_time_s"":""0"",""text_content"":""\u4e0b\u8ab2\u6642\uff0c\u8acb\u5404\u7d44\u5c0f\u7d44\u9577\u6536\u56de\u5e73\u677f\u653e\u7f6e\u5145\u96fb\u8eca"",""select_style_id"":""4303"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25154";"2623";"台北市立實踐國中"
"{""id"":""4750"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""e\u53161"",""open_date"":""2019-03-21"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""11"",""open_time_i"":""55"",""open_time_s"":""0"",""close_time_h"":""12"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""\u4e0b\u8ab2\u6642\uff0c\u8acb\u5404\u7d44\u5c0f\u7d44\u9577\u6536\u56de\u5e73\u677f\u653e\u7f6e\u5145\u96fb\u8eca"",""select_style_id"":""4303"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25155";"2623";"台北市立實踐國中"
"{""id"":""4750"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""e\u53161"",""open_date"":""2019-03-21"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""16"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""16"",""close_time_i"":""5"",""close_time_s"":""0"",""text_content"":""\u4e0b\u8ab2\u6642\uff0c\u8acb\u5404\u7d44\u5c0f\u7d44\u9577\u6536\u56de\u5e73\u677f\u653e\u7f6e\u5145\u96fb\u8eca"",""select_style_id"":""4303"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25156";"2623";"台北市立實踐國中"
"{""id"":""4750"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""e\u53161"",""open_date"":""2019-03-22"",""open_loop"":null,""all_day"":null,""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""10"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""10"",""close_time_i"":""5"",""close_time_s"":""0"",""text_content"":""\u4e0b\u8ab2\u6642\uff0c\u8acb\u5404\u7d44\u5c0f\u7d44\u9577\u5c07\u5e73\u677f\u6536\u597d\uff0c\u653e\u5230\u5145\u96fb\u8eca\u5167"",""select_style_id"":""4303"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25174";"2623";"台北市立實踐國中"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Welcome to MACUL"",""select_style_id"":""4241"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"25187";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Welcome to MACUL"",""select_style_id"":""4241"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"25188";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Unified Basketball Team Won State!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25189";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Unified Basketball Team Won State!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25194";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Test"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25197";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Unified Basketball Team Won State !!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25200";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Unified Basketball Team Won State !!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25201";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""hello"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25203";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Basaketball team wins state"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25205";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""NCAA starts today"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25206";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""NCAA startstoday"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25211";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""NCAA stars today"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25213";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""March Maddness startd today"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25215";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""NCAA "",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25216";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""NCAA March Maddnes"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25217";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""NCAA March madness"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25218";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Get your March Madness Brackets in today!!!!!!!  No School tomorrow!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25219";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""lkj;ij;lkjllk"",""select_style_id"":""4241"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"25223";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""lkdsvclkdsm\/lkdsmv\/damg\/fdmfdmV;lfd"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25224";"2595";"Data Image"
"{""id"":""4613"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""RP6501-Demo"",""text_content"":""Get to work"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#f1c232\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25225";"2366";"BG Innovations"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Unified Basketball Team won State!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25307";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Unified Basketball Team won State!!!!!!1"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25310";"2595";"Data Image"
"{""id"":""4788"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Data Image RP6501K"",""text_content"":""Basketball team won State!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25311";"2595";"Data Image"
"{""id"":""2190"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Basketball team wins state!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25312";"2595";"Data Image"
"{""id"":""2190"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Basketball Team won State!!!!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25313";"2595";"Data Image"
"{""id"":""2190"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Basketball team won Dtate!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25314";"2595";"Data Image"
"{""id"":""2190"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Basketball team won Dtate!!!!!"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25315";"2595";"Data Image"
"{""id"":""2190"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""jgl,ugjg,jg,jug"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25334";"2595";"Data Image"
"{""id"":""2190"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Go Broncos"",""select_style_id"":""4242"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Basketball"",""style"":""{\""font_size\"":\""2\"",\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25337";"2595";"Data Image"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""Test"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#f1c232\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25379";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""RP650K-Dermo"",""text_content"":""Test"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""Notice_2"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#f1c232\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"25382";"2366";"BG Innovations"
