"description";"SHID";"COMID";"COMNM"
"{""id"":""2045"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""demo 1"",""text_content"":""blink twice if i should delete your device"",""select_style_id"":""3116"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"21976";"2042";"Camcor"
"{""id"":""1559"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Snow coming - school is closing early"",""select_style_id"":""3116"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"22001";"2042";"Camcor"
"{""id"":""1559"",""for_tag"":""1"",""type"":""3"",""content_type"":""3"",""name"":""All device"",""link"":""https:\/\/www.youtube.com\/watch?v=U9t-slLl30E"",""one_play"":""1"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""0"",""duration"":236,""start"":0,""video_title"":""\""SEAGULLS! (Stop It Now)\"" -- A Bad Lip Reading of The Empire Strikes Back"",""video_id"":""U9t-slLl30E"",""video_source"":1}";"22002";"2042";"Camcor"
"{""id"":""4226"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Bomb Diggity"",""text_content"":""This is a Test!"",""select_style_id"":""3116"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"22003";"2042";"Camcor"
"{""id"":""1911"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""hello"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"22011";"2366";"BG Innovations"
"{""id"":""1911"",""for_tag"":""1"",""type"":""3"",""content_type"":""3"",""name"":""All device"",""link"":""https:\/\/youtu.be\/xDMP3i36naA"",""one_play"":""1"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""0"",""duration"":208,""start"":0,""video_title"":""WILDLIFE IN 4K (ULTRA HD) 60fps"",""video_id"":""xDMP3i36naA"",""video_source"":1}";"22012";"2366";"BG Innovations"
"{""id"":""4257"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""Benq Demo Room"",""schedule_head_id"":""22159"",""open_date"":""2019-01-23"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""0"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""0"",""close_time_i"":""0"",""close_time_s"":""0"",""link"":""https:\/\/www.youtube.com\/watch?v=bS2a8-dwf84"",""duration"":275,""start"":0,""video_title"":""BenQ Education IFP Product Video"",""video_id"":""bS2a8-dwf84"",""video_source"":1}";"22159";"2190";"New Smart"
"{""id"":""4257"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Benq Demo Room"",""open_date"":""2019-01-26"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""9"",""open_time_i"":""30"",""open_time_s"":""0"",""close_time_h"":""17"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""Welcome to BQME"",""select_style_id"":""3408"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"22160";"2190";"New Smart"
"{""id"":""4257"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""Benq Demo Room"",""open_date"":""2019-01-24"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""12"",""open_time_i"":""30"",""open_time_s"":""0"",""close_time_h"":""13"",""close_time_i"":""0"",""close_time_s"":""0"",""link"":""https:\/\/www.youtube.com\/watch?v=bS2a8-dwf84"",""duration"":275,""start"":0,""video_title"":""BenQ Education IFP Product Video"",""video_id"":""bS2a8-dwf84"",""video_source"":1}";"22161";"2190";"New Smart"
"{""id"":""4257"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Benq Demo Room"",""schedule_head_id"":""22162"",""open_date"":""2019-01-22"",""open_loop"":null,""all_day"":""1"",""cycle"":null,""cycle_day"":null,""cycle_week"":null,""close_date"":null,""week"":null,""open_time_h"":""0"",""open_time_i"":""0"",""open_time_s"":""0"",""close_time_h"":""0"",""close_time_i"":""0"",""close_time_s"":""0"",""text_content"":""Welcome to BQME"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"22162";"2190";"New Smart"
