"id","company_id","name","com_name","group_id","is_ifp","player_os_version","model_id","model_name","created_at"
"6730","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 08:41:54"
"6731","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 08:45:50"
"6733","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 08:50:27"
"6735","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 08:52:53"
"6737","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 08:57:16"
"6738","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 09:02:42"
"6739","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 09:06:46"
"6743","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 09:24:50"
"6746","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 11:32:08"
"6747","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 11:35:09"
"6748","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-03 11:41:03"
"6772","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-04 06:00:20"
"6773","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-04 06:10:03"
"6774","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-04 06:15:33"
"6775","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-04 06:31:51"
"6776","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-04 06:49:26"
"6989","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 06:11:32"
"6991","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 06:20:57"
"6992","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 07:08:50"
"6993","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 07:11:22"
"6995","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 07:19:47"
"6996","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 07:22:20"
"6998","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 07:31:38"
"6999","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 07:37:11"
"7001","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 07:41:46"
"7003","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 08:04:11"
"7005","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 08:10:17"
"7007","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 08:46:11"
"7008","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 08:48:38"
"7009","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 09:01:40"
"7010","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 12:37:32"
"7011","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 12:50:12"
"7012","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 12:57:14"
"7013","1965","Robert College","Turkey","3371","1","5.1.1","19","RP750K","2019-09-20 13:01:18"
"6875","1967","The Aquila Schoo","United Arab Emirates","3376","1","5.1.1","19","RP750K","2019-09-11 08:16:04"
"4226","2042","Camcor","United States","3497","1","6.0","34","RP6501K","2019-01-22 03:31:16"
"4701","2042","Camcor","United States","3497","1","5.1.1","17","RP654K","2019-03-11 13:17:51"
"3591","2080","X-Sign_1002 Co.","Taiwan","3555","1","5.0.1","33","RM8601K","2018-10-30 01:44:13"
"3592","2080","X-Sign_1002 Co.","Taiwan","3555","1","5.0.1","31","RM6501K","2018-10-30 01:52:31"
"3986","2080","X-Sign_1002 Co.","Taiwan","3555","1","5.1.1","18","RP704K","2018-12-19 01:55:06"
"4852","2080","X-Sign_1002 Co.","Taiwan","3555","1","6.0","34","RP6501K","2019-03-29 10:20:30"
"4864","2080","X-Sign_1002 Co.","Taiwan","3555","1","6.0","34","RP6501K","2019-04-01 01:43:36"
"4870","2080","X-Sign_1002 Co.","Taiwan","3555","1","6.0","34","RP6501K","2019-04-01 02:53:25"
"6417","2080","X-Sign_1002 Co.","Taiwan","3555","1","8.0.0","61","RM7502K","2019-08-12 01:58:03"
"6421","2080","X-Sign_1002 Co.","Taiwan","3555","1","6.0","35","RP7501K","2019-08-12 02:57:59"
"6566","2080","X-Sign_1002 Co.","Taiwan","3555","1","6.0","73","E800ST","2019-08-21 06:33:20"
"6569","2080","X-Sign_1002 Co.","Taiwan","3555","1","6.0","73","E800ST","2019-08-21 07:27:49"
"6592","2080","X-Sign_1002 Co.","Taiwan","3555","1","6.0","73","E800ST","2019-08-22 08:25:35"
"6612","2080","X-Sign_1002 Co.","Taiwan","3555","1","6.0","73","E800ST","2019-08-23 07:46:17"
"6855","2080","X-Sign_1002 Co.","Taiwan","3555","1","6.0","35","RP7501K","2019-09-11 05:28:00"
"4348","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-02-03 12:01:46"
"4440","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-02-17 07:17:46"
"4442","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-02-17 08:24:13"
"4674","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:14:51"
"4675","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:16:00"
"4676","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:20:54"
"4677","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:22:39"
"4679","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:26:03"
"4681","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","17","RP654K","2019-03-10 11:30:56"
"4682","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:32:38"
"4683","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:34:46"
"4684","2174","Dunecrest","United Arab Emirates","3692","1","5.1.1","19","RP750K","2019-03-10 11:36:38"
