"id","type","name","company_id","company name","created_at","updated_at"
"2373","U","tag = group","585","BET","2019-04-01 01:43:10","2019-04-01 01:43:10"
"1859","U","Hello","1188","Unique Business","2018-11-29 09:11:19","2018-11-29 09:11:19"
"2493","U","Main Building","1953","English College","2019-05-02 08:22:08","2019-05-02 08:22:08"
"3192","U","Teacher Name","1967","The Aquila Schoo","2019-09-11 08:18:28","2019-09-11 08:18:28"
"2045","U","demo 1","2042","Camcor","2019-01-22 03:36:53","2019-01-22 03:36:53"
"1732","U","Tag-111","2080","X-Sign_1002 Co.","2018-10-30 02:14:00","2018-10-30 02:14:00"
"1941","U","20181219_Tag","2080","X-Sign_1002 Co.","2018-12-19 02:13:27","2018-12-19 02:13:27"
"2376","U","0401 Tag","2080","X-Sign_1002 Co.","2019-04-01 02:58:42","2019-04-01 02:58:42"
"2979","U","20190812","2080","X-Sign_1002 Co.","2019-08-12 01:42:48","2019-08-12 01:42:48"
"3073","U","PRJ","2080","X-Sign_1002 Co.","2019-08-23 07:47:10","2019-08-23 07:47:10"
"3183","U","0911_v2.5  Production","2080","X-Sign_1002 Co.","2019-09-11 05:29:18","2019-09-11 05:29:18"
"2155","U","COORDINATORS / OFFICES","2174","Dunecrest","2019-02-17 07:46:05","2019-03-10 11:48:17"
"2157","U","ES","2174","Dunecrest","2019-02-17 07:47:29","2019-02-17 08:24:46"
"2158","U","HS / MS","2174","Dunecrest","2019-02-17 08:24:30","2019-02-17 08:24:30"
"1759","U","sborovna","2222","školaďáblice","2018-11-06 17:44:36","2018-11-06 17:44:36"
"1900","U","TestBroadcast","2355","EDICO","2018-12-06 07:09:04","2019-05-25 02:42:36"
"1957","U","test","2396","gongcha","2018-12-21 21:30:30","2018-12-21 21:30:30"
"1964","U","一年級","2400","台中市溪南國中","2018-12-24 12:08:10","2018-12-24 12:08:10"
"1965","U","二年級","2400","台中市溪南國中","2018-12-24 12:08:19","2018-12-24 12:08:19"
"1966","U","三年級","2400","台中市溪南國中","2018-12-24 12:08:28","2018-12-24 12:08:28"
"2392","U","GMBS - Migros Basel","2453","TAC","2019-04-04 05:15:20","2019-04-04 05:15:20"
"2393","U","GMOS - Migros Ostschweiz ","2453","TAC","2019-04-04 05:15:35","2019-04-04 05:15:35"
"2394","U","GMLU - Migros Luzern ","2453","TAC","2019-04-04 05:15:54","2019-04-04 05:15:54"
"2395","U","GMZ - Migros Zürich","2453","TAC","2019-04-04 05:16:16","2019-04-04 05:16:16"
"2109","U","123","2501","Maxx Business Sy","2019-02-06 13:05:24","2019-02-06 13:05:24"
"2122","U","Paidos","2508","Escola Paidos","2019-02-11 15:15:28","2019-02-11 15:15:28"
"2542","U","7年級(不含體育音樂)","2591","臺北市仁愛國中","2019-05-14 09:26:17","2019-05-14 09:28:23"
"2543","U","8年級(不含體育音樂)","2591","臺北市仁愛國中","2019-05-14 09:27:23","2019-05-14 09:28:41"
"2544","U","9年級(不含體育音樂)","2591","臺北市仁愛國中","2019-05-14 09:29:46","2019-05-14 09:29:46"
"2545","U","3間專科教室(白板)","2591","臺北市仁愛國中","2019-05-14 09:32:36","2019-05-14 09:32:36"
"2546","U","穿堂入口86吋電視","2591","臺北市仁愛國中","2019-05-14 09:33:15","2019-05-14 09:33:15"
"3348","U","共讀站 3台 65吋","2591","臺北市仁愛國中","2019-10-03 09:11:26","2019-10-03 09:11:56"
"2191","U","Data Image Corporate Monitor","2595","Data Image","2019-02-21 18:14:59","2019-02-21 18:14:59"
